Dataset,Retriever,Question,Gold Answer,LLM Answer,Claim,Claim Label,Entailment Score,Contradiction Score,Evidence Preview
v1,bm25_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has ever won a Super Bowl.,The AFC is the only team that has ever won a Super Bowl.,contradicted,0.007350156083703041,0.99013352394104,"time. They also lost Super Bowl XXI when they wore white jerseys, but they are 0-4 in Super Bowls when wearing orange jerseys, losing in Super Bowl XII, XXII, XXIV, and XLVIII. The only other AFC champion team to have worn white as the designated home team in the Super Bowl was the Pittsburgh Steele"
v1,dpr_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team,The AFC is the only team that has won a Super Bowl since the NFL's inception.,contradicted,0.016017694026231766,0.9719095826148987,"the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50. The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NF"
v1,dpr_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team,The AFC is the only team,contradicted,0.04986393079161644,0.9550182223320007,"the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50. The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NF"
v1,hybrid_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,"The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC","The AFC is the most popular team in the NFL,",unsupported,0.0010351039236411452,0.04577919468283653,
v1,hybrid_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,"The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC",the AFC is the most popular team in the NFL.,unsupported,0.0008742795907892287,0.06847682595252991,
v1,bm25_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","The NFC is the most popular team in the NFL,",unsupported,0.0016449482645839453,0.0916263535618782,
v1,bm25_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC",the NFC is the most popular team in the NFL.,unsupported,0.0019446320366114378,0.1198359802365303,
v1,dpr_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC is the only NFC team to have won a Super Bowl in Super Bowl XXXIII.,The NFC is the only NFC team to have won a Super Bowl in Super Bowl XXXIII.,contradicted,0.05984373390674591,0.9941132664680481,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,hybrid_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","The NFC is the most popular team in the NFL,",unsupported,0.001083223382011056,0.14556826651096344,
v1,hybrid_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC",the NFC is the most popular team in the NFL.,unsupported,0.0014016173081472516,0.12930728495121002,
v1,bm25_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June","The Super Bowl 50 was held in the Bay Area on June 4, 2014.",unsupported,0.0721178948879242,0.26991036534309387,
v1,bm25_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June",The Super Bowl 50 was held in the Bay Area on June,unsupported,0.01632688380777836,0.10722819715738297,
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area.",contradicted,0.9813548922538757,0.9886032342910767,"place in San Diego in 2003. The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availab"
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi","The stadium opened in 2014,",contradicted,0.7993956804275513,0.9892589449882507,"place in San Diego in 2003. The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availab"
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi",the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl.,contradicted,0.037946950644254684,0.9694420099258423,"place in San Diego in 2003. The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availab"
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi",The stadium was originally named Levi,unsupported,0.055980049073696136,0.43389415740966797,
v1,hybrid_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",supported,0.8909651637077332,0.006817769259214401,"Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Su"
