Dataset,Retriever,Question,Gold Answer,LLM Answer,Retrieved Context Preview,TopK,Mean Retrieval Score,Retrieval Hit@K,Exact Match,F1,BLEU,ROUGE-L,Semantic Similarity,Num Claims,Supported Claims,Unsupported Claims,Contradicted Claims,Faithfulness,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Hallucination Rate,Step Time Sec
v1,bm25_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has ever won a Super Bowl.,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,27.89986281037043,0,0,0.0,0.0,0.0,0.46393538,1,0,0,1,0.0,0.0,1.0,1.0,1.3985788822174072
v1,dpr_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team that has won a Super Bowl since the NFL's inception. The AFC is the only team,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5868524670600891,1,0,0.0,0.0,0.0,0.40053695,2,0,0,2,0.0,0.0,1.0,1.0,1.0243186950683594
v1,hybrid_v1+LLM,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,"The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC is the most popular team in the NFL. The AFC is the most popular team in the NFL, and the AFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8077731604058493,1,0,0.0,0.0,0.0,0.37702388,2,0,2,0,0.0,1.0,0.0,1.0,0.9593889713287354
v1,bm25_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,27.62939632004062,1,0,0.0,0.0,0.0,0.34328845,2,0,2,0,0.0,1.0,0.0,1.0,0.9585390090942383
v1,dpr_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC is the only NFC team to have won a Super Bowl in Super Bowl XXXIII.,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5911763310432434,1,0,0.0,0.0,0.0,0.31636155,1,0,0,1,0.0,0.0,1.0,1.0,0.8503077030181885
v1,hybrid_v1+LLM,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC is the most popular team in the NFL. The NFC is the most popular team in the NFL, and the NFC","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8357290141579645,1,0,0.0,0.0,0.0,0.34328845,2,0,2,0,0.0,1.0,0.0,1.0,0.9941749572753906
v1,bm25_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June 4, 2014. The Super Bowl 50 was held in the Bay Area on June","CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 ",5,21.273147950884265,0,0,0.0,0.6044751875664687,0.0,0.19979896,2,0,2,0,0.0,1.0,0.0,1.0,0.8361880779266357
v1,dpr_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl was held in the San Francisco Bay Area on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area. The stadium opened in 2014, and the stadium was renamed Levi's Stadium in honor of the 50th anniversary of the Super Bowl. The stadium was originally named Levi","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.6255763888359069,1,0,0.0,0.6371624499564389,0.0,0.23761752,4,0,1,3,0.0,0.25,0.75,1.0,1.030203104019165
v1,hybrid_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes","CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever. Super Bowl 50 was an American football game to determine the champion of the National Football League (NF",5,0.8618410940287546,1,0,0.07272727272727274,3.850056372189413,0.10714285714285715,0.25897402,3,3,0,0,1.0,0.0,0.0,0.0,0.9536077976226807
v1,bm25_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,21.16315540585437,0,0,0.25,6.567274736060395,0.25,0.60148335,1,0,0,1,0.0,0.0,1.0,1.0,0.8351626396179199
